classes,col6>=0.5,col2>=0.5,col9>=0.5,col11>=2.5,col12>=2.5,col3>=1.5,col11>=1.5,col7>=0.5,col7>=1.5,col10>=4.3,col12>=1.5
0,1,1,0,1,0,0,1,1,1,0,0
1,0,1,1,0,1,1,1,1,1,0,1
1,0,1,1,0,0,1,1,1,1,0,1
1,0,0,0,1,0,1,1,1,1,0,1
0,0,0,1,0,0,1,0,0,0,0,0
1,1,1,1,1,0,1,1,1,1,0,0
1,1,1,1,0,0,1,1,1,1,0,0
0,1,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,1,1,1,0,0
0,1,0,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,1,0,1,1,0,1
0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,1,0,0,0,0,1
0,1,1,1,0,0,1,1,0,0,0,0
1,0,0,0,0,1,1,1,1,1,0,1
0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,1,1,0,0
0,1,1,0,1,0,1,1,1,1,0,0
0,0,1,0,1,0,1,1,1,1,0,0
0,0,1,1,0,0,0,0,1,1,0,0
1,0,0,1,0,0,1,1,0,0,0,0
0,0,0,1,1,0,1,1,1,1,0,0
0,1,0,0,0,0,1,0,0,0,0,0
1,0,1,1,1,0,1,1,1,1,0,0
1,1,1,0,0,0,1,1,0,0,0,1
1,0,1,1,0,0,1,1,0,0,0,1
1,0,0,0,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,1,1,1,0,1
1,1,0,1,0,0,1,1,1,1,0,0
0,1,1,0,0,0,1,0,1,1,0,0
1,1,1,1,0,1,1,0,1,1,0,1
1,1,1,1,0,0,1,0,1,1,0,1
1,0,1,1,1,0,1,1,0,0,1,0
1,1,0,1,1,0,1,1,1,1,0,1
1,0,1,1,1,0,1,1,0,0,0,0
0,1,1,0,0,0,1,1,1,1,0,0
1,1,1,0,0,1,1,1,1,1,0,1
0,1,1,0,0,0,0,1,0,0,0,0
1,0,1,0,0,1,1,1,1,1,0,1
1,0,1,0,0,0,1,1,1,1,0,1
1,0,1,1,0,1,1,0,1,1,0,1
0,1,1,0,0,0,1,0,0,0,0,1
0,1,0,1,0,0,1,0,1,1,0,0
0,1,1,0,0,1,1,0,0,0,0,1
0,1,1,0,0,1,1,0,1,1,0,1
1,0,0,1,0,0,1,1,1,1,0,1
0,0,1,0,0,0,0,0,1,1,0,1
0,0,1,0,1,0,0,1,1,1,0,0
0,1,1,0,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0,1
1,1,0,0,0,1,1,1,0,0,0,1
1,0,1,1,0,0,0,1,0,0,0,0
1,1,0,1,0,0,1,1,0,0,0,1
0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,1,0,0,1,0,1,1,0,0
1,0,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0,1,1,0,1
1,0,1,0,0,0,0,1,0,0,0,1
1,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,1,1,1,0,0,0
1,1,0,0,0,0,1,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,1
1,0,1,0,1,1,1,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1
1,0,1,1,0,0,1,0,1,1,0,1
1,1,1,0,0,0,1,1,1,1,0,1
1,0,1,0,0,0,0,1,0,0,0,0
